Year,FLOOR,TIMESLOT,Number_of_People
2024,4,16:45,31.77777777777778
2024,5,08:30,17.142857142857142
2024,5,09:25,22.44
2024,5,10:20,19.914285714285715
2024,5,11:15,19.923076923076923
2024,5,12:10,19.130434782608695
2024,5,13:05,24.285714285714285
2024,5,14:00,22.41176470588235
2024,5,14:55,22.263157894736842
2024,5,15:50,20.85185185185185
2024,5,16:45,20.615384615384617
2024,5,17:40,18.75
2024,5,18:35,8.0
